"","X.5","X.4","X.3","X.2","X.1","X","Regio.s","x.1.000","X.","X1.000.euro...4","X1.000.euro...5","X1.000.euro...6","X1.000.euro...7"
"1",1,1,1,1,1,1,"Groningen (PV)",2855,100,251,230,350,294
"2",2,2,2,2,2,2,"Fryslân (PV)",2887,100,273,249,394,335
"3",3,3,3,3,3,3,"Drenthe (PV)",2157,100,284,259,414,356
"4",4,4,4,4,4,4,"Overijssel (PV)",4950,100,280,256,413,354
"5",5,5,5,5,5,5,"Flevoland (PV)",1696,100,289,267,432,380
"6",6,6,6,6,6,6,"Gelderland (PV)",9052,100,290,263,425,360
"7",7,7,7,7,7,7,"Utrecht (PV)",5920,100,315,281,460,379
"8",8,8,8,8,8,8,"Noord-Holland (PV)",13326,100,312,268,443,347
"9",9,9,9,9,9,9,"Zuid-Holland (PV)",16617,100,295,261,423,343
"10",10,10,10,10,10,10,"Zeeland (PV)",1727,100,290,264,416,355
"11",11,11,11,11,11,11,"Noord-Brabant (PV)",11248,100,299,269,437,366
"12",12,12,12,12,12,12,"Limburg (PV)",5170,100,279,254,398,335
"13",13,13,13,13,13,13,"Bron: CBS",NA,NA,NA,NA,NA,NA
