"","X.4","X.3","X.2","X.1","X","Regio.s","x.1.000","X.","X1.000.euro...4","X1.000.euro...5","X1.000.euro...6","X1.000.euro...7"
"1",1,1,1,1,1,"Groningen (PV)",2899,100,289,263,403,331
"2",2,2,2,2,2,"Fryslân (PV)",2942,100,308,283,443,376
"3",3,3,3,3,3,"Drenthe (PV)",2197,100,323,296,469,401
"4",4,4,4,4,4,"Overijssel (PV)",5080,100,321,294,473,400
"5",5,5,5,5,5,"Flevoland (PV)",1778,100,331,305,493,432
"6",6,6,6,6,6,"Gelderland (PV)",9303,100,331,301,483,407
"7",7,7,7,7,7,"Utrecht (PV)",6084,100,362,323,528,434
"8",8,8,8,8,8,"Noord-Holland (PV)",13620,100,360,306,510,395
"9",9,9,9,9,9,"Zuid-Holland (PV)",17049,100,336,299,482,390
"10",10,10,10,10,10,"Zeeland (PV)",1760,100,331,300,474,399
"11",11,11,11,11,11,"Noord-Brabant (PV)",11565,100,341,307,496,414
"12",12,12,12,12,12,"Limburg (PV)",5237,100,316,287,448,374
"13",13,13,13,13,13,"Bron: CBS",NA,NA,NA,NA,NA,NA
