"","X.3","X.2","X.1","X","Regio.s","x.1.000","X.","X1.000.euro...4","X1.000.euro...5","X1.000.euro...6","X1.000.euro...7"
"1",1,1,1,1,"Groningen (PV)",2924,100,303,277,421,347
"2",2,2,2,2,"Fryslân (PV)",2970,100,326,298,469,394
"3",3,3,3,3,"Drenthe (PV)",2214,100,341,312,494,421
"4",4,4,4,4,"Overijssel (PV)",5126,100,340,310,500,420
"5",5,5,5,5,"Flevoland (PV)",1819,100,350,324,521,457
"6",6,6,6,6,"Gelderland (PV)",9400,100,350,317,511,428
"7",7,7,7,7,"Utrecht (PV)",6143,100,382,341,557,457
"8",8,8,8,8,"Noord-Holland (PV)",13791,100,381,324,539,416
"9",9,9,9,9,"Zuid-Holland (PV)",17254,100,356,315,511,410
"10",10,10,10,10,"Zeeland (PV)",1773,100,348,316,497,417
"11",11,11,11,11,"Noord-Brabant (PV)",11711,100,360,324,523,434
"12",12,12,12,12,"Limburg (PV)",5288,100,332,301,471,390
"13",13,13,13,13,"Bron: CBS",NA,NA,NA,NA,NA,NA
