"Regionale kerncijfers Nederland"
""
""
"Onderwerp";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid"
"Regio's";"Nederland";"Groningen (PV)";"Fryslân (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"Perioden";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²";"aantal inwoners per km²"
"2019";"513";"251";"194";"187";"348";"295";"417";"904";"1071";"1361";"215";"519";"520"
"2020";"517";"252";"195";"188";"350";"300";"420";"912";"1081";"1374";"215";"522";"520"
"2021";"519";"253";"195";"188";"351";"303";"422";"916";"1084";"1380";"216";"525";"520"
"2022";"523";"255";"196";"189";"353";"308";"425";"923";"1093";"1391";"217";"529";"521"
"2023";"529";"257";"197";"191";"357";"315";"430";"935";"1109";"1410";"220";"536";"526"
"2024";"533";"260";"198";"191";"359";"320";"433";"943";"1118";"1423";"220";"540";"528"
"Bron: CBS"
