"Populatie","Kenmerken van huishoudens","Perioden","Regio's","Particuliere huishoudens (x 1 000)","Particuliere huishoudens relatief (%)","Inkomen Gemiddeld gestandaardiseerd inkomen (1 000 euro)","Mediaan gestandaardiseerd inkomen (1 000 euro)","Gemiddeld besteedbaar inkomen (1 000 euro)","Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Nederland","8.156,9","100","38,3","34,0","55,0","44,6"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Groningen (PV)","294,7","100","32,8","30,1","45,5","37,4"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Fryslân (PV)","299,9","100","35,1","32,2","50,4","42,2"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Drenthe (PV)","223,9","100","36,6","33,6","53,1","45,2"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Overijssel (PV)","518,8","100","36,6","33,5","53,9","45,1"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Flevoland (PV)","186,6","100","37,6","34,8","55,8","49,0"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Gelderland (PV)","951,9","100","37,7","34,1","55,0","45,9"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Utrecht (PV)","624,0","100","41,1","36,5","59,8","48,6"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Noord-Holland (PV)","1.403,2","100","40,9","34,7","57,7","44,3"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Zuid-Holland (PV)","1.751,0","100","38,3","33,9","54,8","43,8"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Zeeland (PV)","179,7","100","37,1","33,8","53,0","44,5"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Noord-Brabant (PV)","1.188,5","100","38,7","34,8","56,3","46,4"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Limburg (PV)","534,7","100","35,7","32,5","50,5","41,7"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Amsterdam","489,2","100","40,1","31,7","53,2","37,7"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","'s-Gravenhage (gemeente)","271,6","100","36,4","31,4","50,4","38,5"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Rotterdam","329,8","100","34,4","29,7","47,1","36,4"
"Particuliere huishoudens incl. studenten","Particuliere huishoudens","2023*","Utrecht (gemeente)","183,4","100","37,5","33,9","52,2","40,7"
"Bron: CBS."
