"","V1","V2","V3"
"1","Perioden","Regio's","Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2","2019","Nederland","     513"
"3","2020","Nederland","     517"
"4","2021","Nederland","     519"
"5","2022","Nederland","     523"
"6","2023","Nederland","     529"
"7","2024","Nederland","     533"
"8","2019","Groningen (PV)","     251"
"9","2020","Groningen (PV)","     252"
"10","2021","Groningen (PV)","     253"
"11","2022","Groningen (PV)","     255"
"12","2023","Groningen (PV)","     257"
"13","2024","Groningen (PV)","     260"
"14","2019","Fryslân (PV)","     194"
"15","2020","Fryslân (PV)","     195"
"16","2021","Fryslân (PV)","     195"
"17","2022","Fryslân (PV)","     196"
"18","2023","Fryslân (PV)","     197"
"19","2024","Fryslân (PV)","     198"
"20","2019","Drenthe (PV)","     187"
"21","2020","Drenthe (PV)","     188"
"22","2021","Drenthe (PV)","     188"
"23","2022","Drenthe (PV)","     189"
"24","2023","Drenthe (PV)","     191"
"25","2024","Drenthe (PV)","     191"
"26","2019","Overijssel (PV)","     348"
"27","2020","Overijssel (PV)","     350"
"28","2021","Overijssel (PV)","     351"
"29","2022","Overijssel (PV)","     353"
"30","2023","Overijssel (PV)","     357"
"31","2024","Overijssel (PV)","     359"
"32","2019","Flevoland (PV)","     295"
"33","2020","Flevoland (PV)","     300"
"34","2021","Flevoland (PV)","     303"
"35","2022","Flevoland (PV)","     308"
"36","2023","Flevoland (PV)","     315"
"37","2024","Flevoland (PV)","     320"
"38","2019","Gelderland (PV)","     417"
"39","2020","Gelderland (PV)","     420"
"40","2021","Gelderland (PV)","     422"
"41","2022","Gelderland (PV)","     425"
"42","2023","Gelderland (PV)","     430"
"43","2024","Gelderland (PV)","     433"
"44","2019","Utrecht (PV)","     904"
"45","2020","Utrecht (PV)","     912"
"46","2021","Utrecht (PV)","     916"
"47","2022","Utrecht (PV)","     923"
"48","2023","Utrecht (PV)","     935"
"49","2024","Utrecht (PV)","     943"
"50","2019","Noord-Holland (PV)","    1071"
"51","2020","Noord-Holland (PV)","    1081"
"52","2021","Noord-Holland (PV)","    1084"
"53","2022","Noord-Holland (PV)","    1093"
"54","2023","Noord-Holland (PV)","    1109"
"55","2024","Noord-Holland (PV)","    1118"
"56","2019","Zuid-Holland (PV)","    1361"
"57","2020","Zuid-Holland (PV)","    1374"
"58","2021","Zuid-Holland (PV)","    1380"
"59","2022","Zuid-Holland (PV)","    1391"
"60","2023","Zuid-Holland (PV)","    1410"
"61","2024","Zuid-Holland (PV)","    1423"
"62","2019","Zeeland (PV)","     215"
"63","2020","Zeeland (PV)","     215"
"64","2021","Zeeland (PV)","     216"
"65","2022","Zeeland (PV)","     217"
"66","2023","Zeeland (PV)","     220"
"67","2024","Zeeland (PV)","     220"
"68","2019","Noord-Brabant (PV)","     519"
"69","2020","Noord-Brabant (PV)","     522"
"70","2021","Noord-Brabant (PV)","     525"
"71","2022","Noord-Brabant (PV)","     529"
"72","2023","Noord-Brabant (PV)","     536"
"73","2024","Noord-Brabant (PV)","     540"
"74","2019","Limburg (PV)","     520"
"75","2020","Limburg (PV)","     520"
"76","2021","Limburg (PV)","     520"
"77","2022","Limburg (PV)","     521"
"78","2023","Limburg (PV)","     526"
"79","2024","Limburg (PV)","     528"
