"Provincies","jaar","bevolkingsdichtheid_per_provincie","gem_huizenprijs"
"Drenthe (PV)",2020,188,"NULL"
"Drenthe (PV)",2021,188,"NULL"
"Drenthe (PV)",2022,189,"NULL"
"Flevoland (PV)",2020,300,"NULL"
"Flevoland (PV)",2021,303,"NULL"
"Flevoland (PV)",2022,308,"NULL"
"Fryslân (PV)",2020,195,"NULL"
"Fryslân (PV)",2021,195,"NULL"
"Fryslân (PV)",2022,196,"NULL"
"Gelderland (PV)",2020,420,"NULL"
"Gelderland (PV)",2021,422,"NULL"
"Gelderland (PV)",2022,425,"NULL"
"Groningen (PV)",2020,252,"NULL"
"Groningen (PV)",2021,253,"NULL"
"Groningen (PV)",2022,255,"NULL"
"Limburg (PV)",2020,520,"NULL"
"Limburg (PV)",2021,520,"NULL"
"Limburg (PV)",2022,521,"NULL"
"Noord-Brabant (PV)",2020,522,"NULL"
"Noord-Brabant (PV)",2021,525,"NULL"
"Noord-Brabant (PV)",2022,529,"NULL"
"Noord-Holland (PV)",2020,1081,"NULL"
"Noord-Holland (PV)",2021,1084,"NULL"
"Noord-Holland (PV)",2022,1093,"NULL"
"Overijssel (PV)",2020,350,"NULL"
"Overijssel (PV)",2021,351,"NULL"
"Overijssel (PV)",2022,353,"NULL"
"Utrecht (PV)",2020,912,"NULL"
"Utrecht (PV)",2021,916,"NULL"
"Utrecht (PV)",2022,923,"NULL"
"Zeeland (PV)",2020,215,"NULL"
"Zeeland (PV)",2021,216,"NULL"
"Zeeland (PV)",2022,217,"NULL"
"Zuid-Holland (PV)",2020,1374,"NULL"
"Zuid-Holland (PV)",2021,1380,"NULL"
"Zuid-Holland (PV)",2022,1391,"NULL"
