"jaar","Provincies","bevolkingsdichtheid_per_provincie"
2020,"Groningen (PV)",252
2021,"Groningen (PV)",253
2022,"Groningen (PV)",255
2020,"Fryslân (PV)",195
2021,"Fryslân (PV)",195
2022,"Fryslân (PV)",196
2020,"Drenthe (PV)",188
2021,"Drenthe (PV)",188
2022,"Drenthe (PV)",189
2020,"Overijssel (PV)",350
2021,"Overijssel (PV)",351
2022,"Overijssel (PV)",353
2020,"Flevoland (PV)",300
2021,"Flevoland (PV)",303
2022,"Flevoland (PV)",308
2020,"Gelderland (PV)",420
2021,"Gelderland (PV)",422
2022,"Gelderland (PV)",425
2020,"Utrecht (PV)",912
2021,"Utrecht (PV)",916
2022,"Utrecht (PV)",923
2020,"Noord-Holland (PV)",1081
2021,"Noord-Holland (PV)",1084
2022,"Noord-Holland (PV)",1093
2020,"Zuid-Holland (PV)",1374
2021,"Zuid-Holland (PV)",1380
2022,"Zuid-Holland (PV)",1391
2020,"Zeeland (PV)",215
2021,"Zeeland (PV)",216
2022,"Zeeland (PV)",217
2020,"Noord-Brabant (PV)",522
2021,"Noord-Brabant (PV)",525
2022,"Noord-Brabant (PV)",529
2020,"Limburg (PV)",520
2021,"Limburg (PV)",520
2022,"Limburg (PV)",521
