"Provincie_nr","Provincies","Nr_huishoudens","gem_st_inkomen_x_100","med_st_inkomen_x_100","gem_bstb_inkomen_x_100","med_bstb_inkomen_x_100","jaar"
1,"Groningen (PV)",2829,233,213,322,273,2015
2,"Fryslân (PV)",2846,251,230,357,312,2015
3,"Drenthe (PV)",2115,263,240,377,332,2015
4,"Overijssel (PV)",4834,258,236,376,329,2015
5,"Flevoland (PV)",1639,266,244,392,347,2015
6,"Gelderland (PV)",8802,267,243,385,334,2015
7,"Utrecht (PV)",5758,290,259,416,349,2015
8,"Noord-Holland (PV)",12965,285,247,398,319,2015
9,"Zuid-Holland (PV)",16165,273,241,386,317,2015
10,"Zeeland (PV)",1701,272,247,385,334,2015
11,"Noord-Brabant (PV)",10939,275,249,396,340,2015
12,"Limburg (PV)",5093,260,236,366,314,2015
1,"Groningen (PV)",2837,242,220,333,282,2016
2,"Fryslân (PV)",2854,261,239,372,322,2016
3,"Drenthe (PV)",2122,274,249,393,342,2016
4,"Overijssel (PV)",4866,269,246,392,338,2016
5,"Flevoland (PV)",1654,277,255,408,359,2016
6,"Gelderland (PV)",8868,278,253,402,344,2016
7,"Utrecht (PV)",5809,302,269,434,359,2016
8,"Noord-Holland (PV)",13093,297,257,414,329,2016
9,"Zuid-Holland (PV)",16292,283,250,400,326,2016
10,"Zeeland (PV)",1707,280,255,398,342,2016
11,"Noord-Brabant (PV)",11019,286,259,413,350,2016
12,"Limburg (PV)",5111,269,245,380,322,2016
1,"Groningen (PV)",2845,249,226,343,287,2017
2,"Fryslân (PV)",2874,269,245,383,327,2017
3,"Drenthe (PV)",2143,282,255,404,348,2017
4,"Overijssel (PV)",4912,277,252,405,345,2017
5,"Flevoland (PV)",1675,284,261,419,367,2017
6,"Gelderland (PV)",8968,288,259,416,351,2017
7,"Utrecht (PV)",5866,312,276,449,368,2017
8,"Noord-Holland (PV)",13219,307,263,430,337,2017
9,"Zuid-Holland (PV)",16445,293,256,415,334,2017
10,"Zeeland (PV)",1717,288,260,409,347,2017
11,"Noord-Brabant (PV)",11135,298,265,428,357,2017
12,"Limburg (PV)",5149,277,250,390,328,2017
1,"Groningen (PV)",2855,251,230,350,294,2018
2,"Fryslân (PV)",2887,273,249,394,335,2018
3,"Drenthe (PV)",2157,284,259,414,356,2018
4,"Overijssel (PV)",4950,280,256,413,354,2018
5,"Flevoland (PV)",1696,289,267,432,380,2018
6,"Gelderland (PV)",9052,290,263,425,360,2018
7,"Utrecht (PV)",5920,315,281,460,379,2018
8,"Noord-Holland (PV)",13326,312,268,443,347,2018
9,"Zuid-Holland (PV)",16617,295,261,423,343,2018
10,"Zeeland (PV)",1727,290,264,416,355,2018
11,"Noord-Brabant (PV)",11248,299,269,437,366,2018
12,"Limburg (PV)",5170,279,254,398,335,2018
1,"Groningen (PV)",2867,265,241,370,307,2019
2,"Fryslân (PV)",2905,289,261,417,350,2019
3,"Drenthe (PV)",2170,300,272,436,372,2019
4,"Overijssel (PV)",4995,300,269,442,370,2019
5,"Flevoland (PV)",1724,307,280,458,398,2019
6,"Gelderland (PV)",9142,312,276,457,377,2019
7,"Utrecht (PV)",5982,339,296,496,398,2019
8,"Noord-Holland (PV)",13435,337,282,479,365,2019
9,"Zuid-Holland (PV)",16757,318,275,457,360,2019
10,"Zeeland (PV)",1739,309,276,444,371,2019
11,"Noord-Brabant (PV)",11365,322,283,470,383,2019
12,"Limburg (PV)",5192,298,265,424,350,2019
1,"Groningen (PV)",2879,274,252,383,319,2020
2,"Fryslân (PV)",2926,295,272,426,362,2020
3,"Drenthe (PV)",2185,309,283,449,385,2020
4,"Overijssel (PV)",5039,307,280,453,384,2020
5,"Flevoland (PV)",1754,315,292,470,414,2020
6,"Gelderland (PV)",9223,317,288,464,391,2020
7,"Utrecht (PV)",6040,345,308,504,415,2020
8,"Noord-Holland (PV)",13553,341,292,484,378,2020
9,"Zuid-Holland (PV)",16918,322,286,463,374,2020
10,"Zeeland (PV)",1745,315,287,453,384,2020
11,"Noord-Brabant (PV)",11470,326,294,475,397,2020
12,"Limburg (PV)",5212,303,275,432,361,2020
1,"Groningen (PV)",2899,289,263,403,331,2021
2,"Fryslân (PV)",2942,308,283,443,376,2021
3,"Drenthe (PV)",2197,323,296,469,401,2021
4,"Overijssel (PV)",5080,321,294,473,400,2021
5,"Flevoland (PV)",1778,331,305,493,432,2021
6,"Gelderland (PV)",9303,331,301,483,407,2021
7,"Utrecht (PV)",6084,362,323,528,434,2021
8,"Noord-Holland (PV)",13620,360,306,510,395,2021
9,"Zuid-Holland (PV)",17049,336,299,482,390,2021
10,"Zeeland (PV)",1760,331,300,474,399,2021
11,"Noord-Brabant (PV)",11565,341,307,496,414,2021
12,"Limburg (PV)",5237,316,287,448,374,2021
1,"Groningen (PV)",2924,303,277,421,347,2022
2,"Fryslân (PV)",2970,326,298,469,394,2022
3,"Drenthe (PV)",2214,341,312,494,421,2022
4,"Overijssel (PV)",5126,340,310,500,420,2022
5,"Flevoland (PV)",1819,350,324,521,457,2022
6,"Gelderland (PV)",9400,350,317,511,428,2022
7,"Utrecht (PV)",6143,382,341,557,457,2022
8,"Noord-Holland (PV)",13791,381,324,539,416,2022
9,"Zuid-Holland (PV)",17254,356,315,511,410,2022
10,"Zeeland (PV)",1773,348,316,497,417,2022
11,"Noord-Brabant (PV)",11711,360,324,523,434,2022
12,"Limburg (PV)",5288,332,301,471,390,2022
1,"Groningen (PV)",2947,328,301,455,374,2023
2,"Fryslân (PV)",2999,351,322,504,422,2023
3,"Drenthe (PV)",2239,366,336,531,452,2023
4,"Overijssel (PV)",5188,366,335,539,451,2023
5,"Flevoland (PV)",1866,376,348,558,490,2023
6,"Gelderland (PV)",9519,377,341,550,459,2023
7,"Utrecht (PV)",6240,411,365,598,486,2023
8,"Noord-Holland (PV)",14032,409,347,577,443,2023
9,"Zuid-Holland (PV)",17510,383,339,548,438,2023
10,"Zeeland (PV)",1797,371,338,530,445,2023
11,"Noord-Brabant (PV)",11885,387,348,563,464,2023
12,"Limburg (PV)",5347,357,325,505,417,2023
