"","...1","Regio's","Onderwerp","...4","1995","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025"
"1",1,"Groningen (PV)","Gemiddelde verkoopprijs","euro"," 67.913","111.768","168.081","177.940","171.679","241.080","283.578","319.184","339.874","339.874","371.220"
"2",2,"Fryslân (PV)","Gemiddelde verkoopprijs","euro"," 67.992","125.834","178.770","195.349","180.461","254.223","290.253","325.113","350.624","350.624","375.728"
"3",3,"Drenthe (PV)","Gemiddelde verkoopprijs","euro"," 84.984","147.524","192.449","205.264","194.566","266.616","316.653","355.510","380.809","380.809","411.728"
"4",4,"Overijssel (PV)","Gemiddelde verkoopprijs","euro"," 83.597","152.617","198.475","211.088","198.713","282.983","325.701","365.460","393.428","393.428","420.923"
"5",5,"Flevoland (PV)","Gemiddelde verkoopprijs","euro"," 91.262","155.987","196.149","206.530","194.188","301.754","351.576","405.900","422.630","422.630","454.473"
"6",6,"Gelderland (PV)","Gemiddelde verkoopprijs","euro","101.759","190.676","236.534","245.990","227.324","323.723","379.346","422.110","446.181","446.181","479.542"
"7",7,"Utrecht (PV)","Gemiddelde verkoopprijs","euro","109.909","210.598","257.807","283.922","264.382","404.811","460.992","510.098","526.771","526.771","560.526"
"8",8,"Noord-Holland (PV)","Gemiddelde verkoopprijs","euro","101.308","203.428","247.406","275.914","273.911","424.553","490.225","536.786","544.917","544.917","570.463"
"9",9,"Zuid-Holland (PV)","Gemiddelde verkoopprijs","euro"," 90.469","159.392","213.568","230.543","221.441","333.763","384.214","425.469","442.913","442.913","469.137"
"10",10,"Zeeland (PV)","Gemiddelde verkoopprijs","euro"," 75.095","118.726","189.534","197.788","193.489","259.014","294.022","326.521","345.402","345.402","366.731"
"11",11,"Noord-Brabant (PV)","Gemiddelde verkoopprijs","euro","100.121","185.790","244.063","254.941","235.669","337.960","385.036","426.539","456.420","456.420","486.894"
"12",12,"Limburg (PV)","Gemiddelde verkoopprijs","euro"," 94.311","157.384","191.026","195.206","191.829","263.910","300.777","330.567","357.532","357.532","381.845"
"13",13,"Bron: Centraal Bureau voor de Statistiek, Kadaster",NA,NA,"     NA","     NA","     NA","     NA","     NA","     NA","     NA","     NA","     NA","     NA","     NA"
