"Regio's","1995","2000","2005","2010","2024","2025","jaar","gem_huizenprijs","id"
"Groningen (PV)"," 67.913","111.768","168.081","177.940","339.874","371.220",2015,"171.679",1
"Fryslân (PV)"," 67.992","125.834","178.770","195.349","350.624","375.728",2015,"180.461",2
"Drenthe (PV)"," 84.984","147.524","192.449","205.264","380.809","411.728",2015,"194.566",3
"Overijssel (PV)"," 83.597","152.617","198.475","211.088","393.428","420.923",2015,"198.713",4
"Flevoland (PV)"," 91.262","155.987","196.149","206.530","422.630","454.473",2015,"194.188",5
"Gelderland (PV)","101.759","190.676","236.534","245.990","446.181","479.542",2015,"227.324",6
"Utrecht (PV)","109.909","210.598","257.807","283.922","526.771","560.526",2015,"264.382",7
"Noord-Holland (PV)","101.308","203.428","247.406","275.914","544.917","570.463",2015,"273.911",8
"Zuid-Holland (PV)"," 90.469","159.392","213.568","230.543","442.913","469.137",2015,"221.441",9
"Zeeland (PV)"," 75.095","118.726","189.534","197.788","345.402","366.731",2015,"193.489",10
"Noord-Brabant (PV)","100.121","185.790","244.063","254.941","456.420","486.894",2015,"235.669",11
"Limburg (PV)"," 94.311","157.384","191.026","195.206","357.532","381.845",2015,"191.829",12
"Groningen (PV)"," 67.913","111.768","168.081","177.940","339.874","371.220",2020,"241.080",1
"Fryslân (PV)"," 67.992","125.834","178.770","195.349","350.624","375.728",2020,"254.223",2
"Drenthe (PV)"," 84.984","147.524","192.449","205.264","380.809","411.728",2020,"266.616",3
"Overijssel (PV)"," 83.597","152.617","198.475","211.088","393.428","420.923",2020,"282.983",4
"Flevoland (PV)"," 91.262","155.987","196.149","206.530","422.630","454.473",2020,"301.754",5
"Gelderland (PV)","101.759","190.676","236.534","245.990","446.181","479.542",2020,"323.723",6
"Utrecht (PV)","109.909","210.598","257.807","283.922","526.771","560.526",2020,"404.811",7
"Noord-Holland (PV)","101.308","203.428","247.406","275.914","544.917","570.463",2020,"424.553",8
"Zuid-Holland (PV)"," 90.469","159.392","213.568","230.543","442.913","469.137",2020,"333.763",9
"Zeeland (PV)"," 75.095","118.726","189.534","197.788","345.402","366.731",2020,"259.014",10
"Noord-Brabant (PV)","100.121","185.790","244.063","254.941","456.420","486.894",2020,"337.960",11
"Limburg (PV)"," 94.311","157.384","191.026","195.206","357.532","381.845",2020,"263.910",12
"Groningen (PV)"," 67.913","111.768","168.081","177.940","339.874","371.220",2021,"283.578",1
"Fryslân (PV)"," 67.992","125.834","178.770","195.349","350.624","375.728",2021,"290.253",2
"Drenthe (PV)"," 84.984","147.524","192.449","205.264","380.809","411.728",2021,"316.653",3
"Overijssel (PV)"," 83.597","152.617","198.475","211.088","393.428","420.923",2021,"325.701",4
"Flevoland (PV)"," 91.262","155.987","196.149","206.530","422.630","454.473",2021,"351.576",5
"Gelderland (PV)","101.759","190.676","236.534","245.990","446.181","479.542",2021,"379.346",6
"Utrecht (PV)","109.909","210.598","257.807","283.922","526.771","560.526",2021,"460.992",7
"Noord-Holland (PV)","101.308","203.428","247.406","275.914","544.917","570.463",2021,"490.225",8
"Zuid-Holland (PV)"," 90.469","159.392","213.568","230.543","442.913","469.137",2021,"384.214",9
"Zeeland (PV)"," 75.095","118.726","189.534","197.788","345.402","366.731",2021,"294.022",10
"Noord-Brabant (PV)","100.121","185.790","244.063","254.941","456.420","486.894",2021,"385.036",11
"Limburg (PV)"," 94.311","157.384","191.026","195.206","357.532","381.845",2021,"300.777",12
"Groningen (PV)"," 67.913","111.768","168.081","177.940","339.874","371.220",2022,"319.184",1
"Fryslân (PV)"," 67.992","125.834","178.770","195.349","350.624","375.728",2022,"325.113",2
"Drenthe (PV)"," 84.984","147.524","192.449","205.264","380.809","411.728",2022,"355.510",3
"Overijssel (PV)"," 83.597","152.617","198.475","211.088","393.428","420.923",2022,"365.460",4
"Flevoland (PV)"," 91.262","155.987","196.149","206.530","422.630","454.473",2022,"405.900",5
"Gelderland (PV)","101.759","190.676","236.534","245.990","446.181","479.542",2022,"422.110",6
"Utrecht (PV)","109.909","210.598","257.807","283.922","526.771","560.526",2022,"510.098",7
"Noord-Holland (PV)","101.308","203.428","247.406","275.914","544.917","570.463",2022,"536.786",8
"Zuid-Holland (PV)"," 90.469","159.392","213.568","230.543","442.913","469.137",2022,"425.469",9
"Zeeland (PV)"," 75.095","118.726","189.534","197.788","345.402","366.731",2022,"326.521",10
"Noord-Brabant (PV)","100.121","185.790","244.063","254.941","456.420","486.894",2022,"426.539",11
"Limburg (PV)"," 94.311","157.384","191.026","195.206","357.532","381.845",2022,"330.567",12
"Groningen (PV)"," 67.913","111.768","168.081","177.940","339.874","371.220",2023,"313.679",1
"Fryslân (PV)"," 67.992","125.834","178.770","195.349","350.624","375.728",2023,"323.765",2
"Drenthe (PV)"," 84.984","147.524","192.449","205.264","380.809","411.728",2023,"349.757",3
"Overijssel (PV)"," 83.597","152.617","198.475","211.088","393.428","420.923",2023,"365.733",4
"Flevoland (PV)"," 91.262","155.987","196.149","206.530","422.630","454.473",2023,"394.736",5
"Gelderland (PV)","101.759","190.676","236.534","245.990","446.181","479.542",2023,"413.316",6
"Utrecht (PV)","109.909","210.598","257.807","283.922","526.771","560.526",2023,"476.555",7
"Noord-Holland (PV)","101.308","203.428","247.406","275.914","544.917","570.463",2023,"507.271",8
"Zuid-Holland (PV)"," 90.469","159.392","213.568","230.543","442.913","469.137",2023,"410.408",9
"Zeeland (PV)"," 75.095","118.726","189.534","197.788","345.402","366.731",2023,"328.452",10
"Noord-Brabant (PV)","100.121","185.790","244.063","254.941","456.420","486.894",2023,"418.547",11
"Limburg (PV)"," 94.311","157.384","191.026","195.206","357.532","381.845",2023,"329.001",12
