"","X","Regio.s","Onderwerp","...3","X1995","X2000","X2005","X2010","X2015","X2020","X2021","X2022","X2023","X2024","X2025"
"1",1,"Groningen (PV)","Gemiddelde verkoopprijs","euro",67913,111768,168081,177940,171679,241080,283578,319184,313679,339874,371220
"2",2,"Fryslân (PV)","Gemiddelde verkoopprijs","euro",67992,125834,178770,195349,180461,254223,290253,325113,323765,350624,375728
"3",3,"Drenthe (PV)","Gemiddelde verkoopprijs","euro",84984,147524,192449,205264,194566,266616,316653,355510,349757,380809,411728
"4",4,"Overijssel (PV)","Gemiddelde verkoopprijs","euro",83597,152617,198475,211088,198713,282983,325701,365460,365733,393428,420923
"5",5,"Flevoland (PV)","Gemiddelde verkoopprijs","euro",91262,155987,196149,206530,194188,301754,351576,405900,394736,422630,454473
"6",6,"Gelderland (PV)","Gemiddelde verkoopprijs","euro",101759,190676,236534,245990,227324,323723,379346,422110,413316,446181,479542
"7",7,"Utrecht (PV)","Gemiddelde verkoopprijs","euro",109909,210598,257807,283922,264382,404811,460992,510098,476555,526771,560526
"8",8,"Noord-Holland (PV)","Gemiddelde verkoopprijs","euro",101308,203428,247406,275914,273911,424553,490225,536786,507271,544917,570463
"9",9,"Zuid-Holland (PV)","Gemiddelde verkoopprijs","euro",90469,159392,213568,230543,221441,333763,384214,425469,410408,442913,469137
"10",10,"Zeeland (PV)","Gemiddelde verkoopprijs","euro",75095,118726,189534,197788,193489,259014,294022,326521,328452,345402,366731
"11",11,"Noord-Brabant (PV)","Gemiddelde verkoopprijs","euro",100121,185790,244063,254941,235669,337960,385036,426539,418547,456420,486894
"12",12,"Limburg (PV)","Gemiddelde verkoopprijs","euro",94311,157384,191026,195206,191829,263910,300777,330567,329001,357532,381845
"13",13,"Bron: Centraal Bureau voor de Statistiek, Kadaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
